Drug1,Drug2
DB01262,DB04115
DB00255,DB01393
DB00796,DB01234
DB01370,DB03843
DB00755,DB03255
DB00170,DB00502
DB01262,DB04540
DB00136,DB00762
DB00162,DB00907
DB00394,DB01076
DB00661,DB00898
DB01169,DB02587
DB01919,DB04540
DB01118,DB01296
DB00201,DB00252
DB00126,DB00997
DB00636,DB02546
DB00122,DB00958
DB01115,DB01393
DB00695,DB00945
DB00523,DB01394
DB00470,DB00988
DB00307,DB01645
DB00171,DB01169
DB00412,DB01001
DB00523,DB01234
DB00428,DB01076
DB00744,DB00755
DB00316,DB00451
DB00252,DB01262
DB00338,DB01593
DB00166,DB00917
DB00759,DB03843
DB00544,DB00997
DB00470,DB00987
DB00515,DB00818
DB00635,DB01229
DB01039,DB01045
DB00755,DB00841
DB00143,DB01577
DB00773,DB00945
DB00143,DB01149
DB00368,DB00563
DB01370,DB03518
DB00122,DB00166
DB00746,DB00773
DB00252,DB00763
DB00526,DB01050
DB00563,DB00773
DB00158,DB00307
DB00997,DB01577
DB00254,DB01645
DB00997,DB01149
DB00338,DB00550
DB00554,DB00675
DB00206,DB00755
DB00477,DB00624
DB01880,DB02709
DB00550,DB01759
DB00477,DB04827
DB00388,DB00396
DB00328,DB01254
DB00331,DB00437
DB00790,DB01169
DB00566,DB00624
DB00412,DB00605
DB00997,DB03193
DB00563,DB01393
DB00451,DB02709
DB00566,DB04827
DB00184,DB03843
DB00531,DB03568
DB00126,DB00169
DB00169,DB00945
DB00533,DB00624
DB00143,DB00482
DB00171,DB00316
DB00182,DB00675
DB00091,DB01026
DB00499,DB02701
DB00495,DB01118
DB00143,DB00795
DB00328,DB00554
DB00325,DB00741
DB00338,DB01234
DB00482,DB00627
DB00624,DB01136
DB00695,DB01296
DB00179,DB02709
DB00396,DB01181
DB00860,DB02527
DB00313,DB04066
DB00184,DB00428
DB00526,DB00859
DB00531,DB00966
DB00264,DB00388
DB00675,DB01262
DB00947,DB02701
DB01169,DB01645
DB01454,DB02533
DB00317,DB00412
DB00605,DB02546
DB00482,DB00977
DB00526,DB02169
DB00554,DB00864
DB00526,DB00759
DB00399,DB00970
DB00126,DB00877
DB00126,DB01183
DB00122,DB01592
DB01097,DB01593
DB00482,DB00566
DB00143,DB00325
DB00184,DB03518
DB00290,DB01577
DB00170,DB01577
DB00864,DB01169
DB00290,DB01149
DB00170,DB01149
DB00328,DB00435
DB00544,DB00877
DB00945,DB01183
DB00188,DB01041
DB00305,DB02379
DB00396,DB00399
DB00570,DB00636
DB00917,DB01593
DB00550,DB00727
DB00624,DB01919
DB01039,DB01370
DB00388,DB00470
DB00126,DB00753
DB00977,DB01393
DB01229,DB01956
DB00396,DB00928
DB00586,DB01254
DB00571,DB01030
DB00399,DB02010
DB00550,DB01132
DB00197,DB00834
DB00982,DB01174
DB00166,DB01454
DB00317,DB04216
DB00188,DB00763
DB01076,DB01454
DB00316,DB00570
DB00515,DB00594
DB00898,DB01454
DB00126,DB00678
DB00162,DB00515
DB00624,DB02424
DB00305,DB00499
DB00898,DB02365
DB00170,DB00795
DB00170,DB02169
DB00481,DB04557
DB00252,DB00541
DB00255,DB00313
DB01085,DB01169
DB00290,DB00795
DB00162,DB00179
DB00550,DB00758
DB00122,DB00495
DB00441,DB00860
DB01097,DB01234
DB00537,DB00783
DB01174,DB02533
DB00252,DB00746
DB00541,DB00584
DB00541,DB04224
DB00143,DB01373
DB00526,DB00796
DB00554,DB00694
DB00262,DB03843
DB00328,DB00864
DB00798,DB02709
DB00675,DB01698
DB00544,DB00678
DB00526,DB01373
DB00331,DB02701
DB00255,DB00993
DB00435,DB00947
DB00290,DB00325
DB00170,DB00325
DB00262,DB00428
DB00184,DB02365
DB00136,DB00305
DB00860,DB02379
DB00678,DB02527
DB00563,DB00936
DB01222,DB01234
DB00877,DB02533
DB00515,DB00907
DB00266,DB00675
DB00641,DB00798
DB00502,DB00755
DB00584,DB00755
DB00815,DB02709
DB00822,DB04173
DB01017,DB01174
DB00197,DB00773
DB00563,DB00661
DB00136,DB01229
DB00368,DB02901
DB00227,DB00636
DB00421,DB00970
DB00134,DB01254
DB00188,DB00564
DB01024,DB02709
DB00122,DB00586
DB00316,DB02056
DB00313,DB01041
DB00104,DB02709
DB00977,DB01236
DB00316,DB02010
DB00313,DB01262
DB00661,DB00675
DB00458,DB01169
DB02587,DB04216
DB00437,DB01229
DB00675,DB00746
DB01050,DB01296
DB00158,DB00907
DB00091,DB00512
DB02315,DB04216
DB00795,DB00970
DB00550,DB04348
DB00641,DB00668
DB00313,DB00763
DB00435,DB00841
DB00143,DB00175
DB02527,DB02546
DB00997,DB01700
DB00290,DB01373
DB00170,DB01373
DB00470,DB00993
DB00586,DB00864
DB00515,DB00649
DB00407,DB02533
DB00328,DB00694
DB00122,DB00783
DB00773,DB02527
DB00428,DB00533
DB00162,DB03568
DB01248,DB02379
DB00675,DB01696
DB00482,DB01393
DB00627,DB03843
DB00796,DB00997
DB00188,DB00541
DB00388,DB00526
DB00694,DB01050
DB00197,DB00863
DB00499,DB01174
DB00541,DB03843
DB03843,DB04573
DB00564,DB01041
DB00162,DB00966
DB00564,DB01262
DB01370,DB01593
DB01026,DB01065
DB00162,DB00197
DB00134,DB00435
DB00412,DB01592
DB00445,DB00755
DB00448,DB00624
DB00783,DB04513
DB00907,DB02656
DB00834,DB04827
DB00584,DB01115
DB01645,DB03467
DB00947,DB01174
DB02709,DB04115
DB00550,DB01128
DB00197,DB03128
DB00458,DB01064
DB00091,DB01016
DB00970,DB01174
DB01136,DB02527
DB00523,DB00997
DB01296,DB03128
DB01234,DB02701
DB00564,DB00763
DB00619,DB00898
DB00746,DB04173
DB01183,DB01229
DB00143,DB01039
DB00363,DB00864
DB00563,DB04173
DB00761,DB01234
DB01593,DB04173
DB00495,DB02709
DB00435,DB01042
DB00396,DB04819
DB00759,DB01593
DB01042,DB04743
DB00313,DB01698
DB00307,DB01174
DB00313,DB00564
DB00678,DB02379
DB00388,DB00947
DB00170,DB01700
DB00363,DB02546
DB00541,DB03518
DB00126,DB00177
DB00512,DB00563
DB00166,DB00481
DB00437,DB01262
DB00184,DB00544
DB00741,DB00945
DB00091,DB00563
DB00143,DB00636
DB00470,DB00624
DB00586,DB00694
DB00945,DB01136
DB00134,DB00864
DB00367,DB00412
DB00907,DB01076
DB00169,DB00170
DB00624,DB04115
DB00307,DB00641
DB00636,DB00871
DB00091,DB00445
DB00515,DB01104
DB00431,DB00741
DB00975,DB01030
DB00184,DB01593
DB00338,DB00997
DB00563,DB01033
DB00184,DB00806
DB00412,DB00860
DB00313,DB00541
DB01030,DB02546
DB00368,DB00822
DB00796,DB00877
DB00564,DB01698
DB00988,DB01050
DB00399,DB00627
DB00759,DB01234
DB01026,DB04216
DB00685,DB01169
DB00746,DB00762
DB00175,DB00197
DB00184,DB00481
DB00977,DB04173
DB00773,DB02379
DB00388,DB00841
DB00313,DB00746
DB00563,DB00762
DB00162,DB00279
DB00136,DB01222
DB00399,DB00977
DB00472,DB00970
DB00170,DB01039
DB00290,DB01039
DB00331,DB01174
DB00295,DB03843
DB00277,DB00605
DB00122,DB02656
DB00788,DB02527
DB00177,DB00636
DB00945,DB01919
DB00126,DB02424
DB00526,DB04743
DB00264,DB00586
DB00762,DB04216
DB01183,DB01262
DB00367,DB04216
DB01159,DB01262
DB00755,DB02701
DB00523,DB00877
DB01174,DB03796
DB00928,DB01262
DB00783,DB00950
DB00477,DB01041
DB00295,DB00428
DB00158,DB00515
DB00741,DB01296
DB00184,DB01234
DB00945,DB02424
DB00566,DB01041
DB01136,DB02379
DB00290,DB00636
DB00170,DB00636
DB00158,DB00179
DB00544,DB02424
DB00636,DB04827
DB01174,DB02315
DB00675,DB00818
DB00134,DB00694
DB00533,DB01262
DB00126,DB01345
DB00264,DB00783
DB00477,DB00763
DB00564,DB00746
DB00481,DB01454
DB00531,DB01296
DB00685,DB01064
DB00977,DB01033
DB00295,DB03518
DB00877,DB03796
DB00122,DB01065
DB00526,DB00910
DB00333,DB00783
DB00975,DB01118
DB00162,DB00441
DB00763,DB02010
DB00993,DB02379
DB00158,DB00448
DB00184,DB00367
DB00368,DB00605
DB00134,DB00399
DB00936,DB01262
DB00255,DB00262
DB00982,DB02533
DB00544,DB01345
DB00396,DB01956
DB00396,DB01852
DB00531,DB04557
DB00338,DB00877
DB02424,DB02656
DB00201,DB01174
DB00313,DB01268
DB00526,DB01136
DB00262,DB01593
DB00727,DB03843
DB00834,DB00841
DB00197,DB04173
DB00407,DB00755
DB00368,DB00388
DB00338,DB00531
DB00328,DB00396
DB00515,DB03568
DB00542,DB01169
DB00435,DB00437
DB00396,DB01030
DB00262,DB00550
DB00641,DB01093
DB01232,DB01645
DB01118,DB01370
DB00515,DB00966
DB00477,DB00564
DB00877,DB01115
DB00871,DB03843
DB00317,DB01064
DB00715,DB01593
DB00788,DB02379
DB00262,DB01394
DB00773,DB01045
DB00441,DB04216
DB00744,DB02379
DB00158,DB03568
DB00255,DB00305
DB00675,DB00758
DB00533,DB00564
DB00822,DB01229
DB00526,DB01919
DB00822,DB03467
DB00262,DB01234
DB01229,DB01586
DB00428,DB04224
DB00795,DB00977
DB00255,DB01229
DB00166,DB01050
DB00158,DB00966
DB00252,DB00907
DB00158,DB00197
DB00399,DB00773
DB00917,DB03128
DB00594,DB00783
DB00550,DB00741
DB00171,DB01356
DB00388,DB02587
DB00898,DB01050
DB00619,DB00675
DB00206,DB02379
DB00541,DB00544
DB00412,DB00458
DB00542,DB01064
DB01115,DB01229
DB00197,DB01085
DB01394,DB04743
DB00197,DB00762
DB01128,DB01262
DB00407,DB01115
DB01169,DB01576
DB00316,DB00834
DB00399,DB01393
DB00264,DB02656
DB00313,DB00818
DB00328,DB00470
DB00715,DB01234
DB00636,DB03255
DB00171,DB00550
DB00572,DB00783
DB00541,DB01593
DB00412,DB01097
DB00877,DB00945
DB00441,DB00472
DB00499,DB02533
DB00959,DB00970
DB00681,DB01234
DB00126,DB04115
DB00695,DB01370
DB01041,DB01262
DB00171,DB01394
DB02709,DB04381
DB00126,DB04540
DB01393,DB03128
DB01577,DB02169
DB00584,DB02527
DB01356,DB03843
DB00143,DB00201
DB00947,DB02533
DB00755,DB01174
DB00325,DB03843
DB00675,DB00907
DB00970,DB02533
DB00746,DB01229
DB00394,DB03843
DB00945,DB04115
DB00328,DB01852
DB00563,DB01229
DB00544,DB04115
DB00277,DB01592
DB00531,DB00917
DB00564,DB00818
DB00544,DB04540
DB00627,DB01234
DB00563,DB03467
DB00435,DB02701
DB00773,DB01370
DB00412,DB01065
DB00694,DB04743
DB01593,DB03467
DB00316,DB00773
DB00143,DB01254
DB00255,DB01262
DB00541,DB01234
DB00394,DB00428
DB00407,DB00945
DB00317,DB00328
DB00162,DB01296
DB00158,DB00279
DB00997,DB01254
DB00544,DB00566
DB00388,DB01645
DB01115,DB01262
DB00197,DB00790
DB00188,DB00907
DB00281,DB00515
DB00134,DB00396
DB01356,DB03518
DB00143,DB00554
DB00143,DB00477
DB00864,DB01356
DB00317,DB01118
DB00175,DB00945
DB01136,DB01370
DB00122,DB00788
DB00421,DB00773
DB00759,DB00997
DB00877,DB01296
DB00472,DB00627
DB00554,DB00947
DB00307,DB00331
DB00368,DB01592
DB00783,DB02056
DB00641,DB00695
DB00783,DB02010
DB02527,DB04827
DB00277,DB00495
DB04224,DB04743
DB00531,DB00898
DB01026,DB01169
DB00472,DB00977
DB00458,DB02709
DB01221,DB03843
DB00166,DB00368
DB00295,DB01593
DB00428,DB03518
DB00977,DB01229
DB00295,DB00806
DB01394,DB01919
DB00316,DB00863
DB01085,DB01356
DB00313,DB00594
DB00864,DB01394
DB00143,DB00435
DB01118,DB01577
DB01454,DB02527
DB00470,DB01262
DB01645,DB01759
DB01118,DB01149
DB00470,DB01041
DB00091,DB01001
DB00396,DB00829
DB00122,DB00533
DB00158,DB00441
DB00331,DB02533
DB00255,DB01222
DB00279,DB01174
DB00712,DB01174
DB00588,DB02709
DB00328,DB00526
DB00795,DB01393
DB00572,DB02656
DB00295,DB00550
DB00316,DB03128
DB00252,DB00515
DB00501,DB00563
DB00290,DB01254
DB00170,DB01254
DB00584,DB02379
DB00502,DB02379
DB00136,DB00727
DB00470,DB00763
DB01064,DB02010
DB00412,DB04216
DB01378,DB01645
DB01065,DB02587
DB00136,DB01132
DB00917,DB04173
DB00988,DB04743
DB00295,DB01394
DB00126,DB00988
DB00368,DB00495
DB00134,DB00470
DB01221,DB03518
DB00290,DB00477
DB00290,DB00554
DB00170,DB00554
DB00175,DB01296
DB00277,DB00586
DB01085,DB01394
DB00675,DB01248
DB00531,DB01454
DB00448,DB00564
DB01026,DB01064
DB00328,DB01200
DB00295,DB01234
DB00091,DB00605
DB00431,DB04557
DB00118,DB00624
DB00564,DB00594
DB00313,DB00907
DB01050,DB01370
DB00328,DB00947
DB00982,DB01115
DB00544,DB00988
DB00162,DB00635
DB00694,DB01919
DB01076,DB01183
DB00624,DB00871
DB00898,DB01183
DB02709,DB04827
DB00526,DB00864
DB00544,DB00987
DB00255,DB00541
DB00727,DB01593
DB00917,DB01065
DB00763,DB00834
DB01174,DB02527
DB00563,DB01222
DB00170,DB00435
DB01393,DB04173
DB00201,DB02533
DB00431,DB00584
DB00290,DB00435
DB00695,DB01577
DB00396,DB00503
DB00255,DB00746
DB01592,DB02527
DB00412,DB00472
DB00396,DB00974
DB00470,DB01698
DB00470,DB00564
DB00627,DB01050
DB00526,DB02546
DB00471,DB02709
DB00368,DB00586
DB00197,DB03467
DB00316,DB00936
DB00197,DB02901
DB01296,DB03467
DB00917,DB01085
DB00564,DB00907
DB00313,DB00588
DB01296,DB02901
DB00399,DB04173
DB00871,DB01593
DB00126,DB00407
DB00184,DB01183
DB00746,DB00822
DB00184,DB00877
DB00451,DB00970
DB00499,DB00755
DB00877,DB02527
DB00262,DB00997
DB00162,DB00917
DB00727,DB01394
DB00515,DB00712
DB01454,DB02379
DB00482,DB01229
DB00162,DB00431
DB00188,DB00515
DB00741,DB01045
DB00997,DB01181
DB01065,DB01645
DB00499,DB03796
DB00435,DB01174
DB00685,DB02709
DB00566,DB01174
DB00624,DB04827
DB00762,DB01030
DB00136,DB04348
DB00368,DB00783
DB00481,DB01050
DB00727,DB01234
DB00472,DB00773
DB00586,DB00947
DB00252,DB00966
DB00170,DB00864
DB00122,DB01169
DB00184,DB00753
DB00143,DB00694
DB00947,DB03796
DB01174,DB03057
DB00470,DB00541
DB00162,DB00170
DB00158,DB00712
DB00763,DB00773
DB00470,DB00746
DB00437,DB00907
DB00169,DB01577
DB00715,DB00997
DB00834,DB02701
DB00472,DB01393
DB00977,DB01222
DB00396,DB01586
DB01254,DB04216
DB00987,DB02656
DB00822,DB01221
DB00143,DB00399
DB00184,DB00678
DB00515,DB01296
DB00988,DB01919
DB00871,DB01234
DB00407,DB02527
DB01132,DB02656
DB00907,DB04224
DB00143,DB00928
DB00179,DB00184
DB00134,DB00526
DB00669,DB04216
DB02379,DB03568
DB00313,DB00381
DB00481,DB00859
DB00325,DB00544
DB00162,DB00898
DB00313,DB01248
DB00399,DB00762
DB00441,DB01064
DB00328,DB01042
DB00363,DB00947
DB00675,DB03568
DB00394,DB00544
DB00515,DB04557
DB00481,DB00759
DB00499,DB01115
DB00166,DB04743
DB00171,DB00997
DB00554,DB02587
DB00571,DB00798
DB01577,DB04743
DB00586,DB00841
DB00641,DB00834
DB00122,DB00316
DB01174,DB02379
DB00316,DB04173
DB00158,DB01296
DB00678,DB00982
DB00675,DB00741
DB01356,DB01593
DB01076,DB04743
DB00898,DB04743
DB00471,DB00550
DB00675,DB00966
DB01592,DB02379
DB00947,DB01115
DB00197,DB03619
DB00091,DB00166
DB00970,DB01115
DB00762,DB01118
DB01118,DB01700
DB01262,DB01698
DB00499,DB01017
DB00394,DB01593
DB00482,DB01262
DB00982,DB01296
DB02709,DB03255
DB00987,DB01065
DB00755,DB02533
DB00262,DB00877
DB00091,DB04573
DB00783,DB01009
DB00313,DB00515
DB00134,DB00947
DB00170,DB00694
DB00290,DB00694
DB00523,DB00566
DB00325,DB00481
DB00898,DB03166
DB00798,DB00970
DB00331,DB00755
DB00695,DB00982
DB00741,DB01370
DB00531,DB00675
DB00763,DB03128
DB00394,DB00550
DB00313,DB02232
DB00564,DB01248
DB00328,DB00503
DB00542,DB02709
DB00331,DB03796
DB00428,DB01593
DB00262,DB00531
DB00503,DB00834
DB00790,DB00997
DB00428,DB00806
DB00290,DB00399
DB00170,DB00399
DB00641,DB00959
DB01050,DB01577
DB00188,DB00197
DB00396,DB00681
DB00746,DB01221
DB00533,DB00907
DB01050,DB01149
DB00898,DB00910
DB00313,DB00448
DB00277,DB01065
DB00428,DB00550
DB00773,DB00982
DB01394,DB02546
DB00325,DB01234
DB00977,DB01696
DB00368,DB02656
DB00331,DB00441
DB00798,DB02010
DB00966,DB01592
DB00550,DB00584
DB00481,DB00796
DB01045,DB01393
DB00394,DB01234
DB00316,DB01085
DB00624,DB03255
DB00316,DB00762
DB00091,DB01592
DB00907,DB03843
DB00415,DB01645
DB01076,DB01136
DB00428,DB01394
DB00396,DB00715
DB00134,DB00841
DB01221,DB01593
DB02709,DB04066
DB00515,DB00635
DB00898,DB01136
DB00328,DB02587
DB00407,DB02379
DB00636,DB02701
DB00197,DB00822
DB02587,DB02709
DB00675,DB00975
DB01050,DB02169
DB00554,DB01645
DB02315,DB02709
DB00388,DB00641
DB00428,DB01234
DB00864,DB00997
DB00277,DB00412
DB00171,DB00877
DB00126,DB00871
DB00331,DB01115
DB00412,DB00580
DB00201,DB00755
DB00544,DB00993
DB00783,DB00834
DB00264,DB01169
DB01166,DB01262
DB00368,DB01065
DB00503,DB00773
DB00407,DB00499
DB00171,DB00531
DB00158,DB00635
DB00755,DB00772
DB00541,DB00877
DB00437,DB00515
DB01370,DB02424
DB00431,DB01454
DB00331,DB01017
DB00608,DB00624
DB00907,DB03518
DB00166,DB01919
DB00227,DB00470
DB00313,DB03568
DB00441,DB01118
DB00641,DB00863
DB01577,DB01919
DB00694,DB02546
DB00295,DB00997
DB01076,DB01919
DB00822,DB01132
DB00563,DB01759
DB02546,DB04115
DB00091,DB00495
DB00898,DB01919
DB02546,DB04540
DB01221,DB01234
DB00515,DB00917
DB01593,DB01759
DB00758,DB00783
DB00917,DB02901
DB00313,DB00966
DB00641,DB03128
DB00481,DB01183
DB00277,DB04216
DB01234,DB03796
DB00550,DB01956
DB01030,DB01042
DB00091,DB00860
DB00482,DB00541
DB00834,DB01174
DB01076,DB02424
DB00586,DB02587
DB00898,DB02424
DB00806,DB00947
DB00143,DB00396
DB00126,DB00624
DB00495,DB00970
DB00197,DB00388
DB00970,DB01296
DB00482,DB00746
DB00126,DB04827
DB00982,DB02527
DB01234,DB02315
DB00412,DB02052
DB00877,DB01045
DB00264,DB00316
DB00316,DB00790
DB00158,DB00917
DB00158,DB00431
DB00331,DB00945
DB00435,DB00608
DB00541,DB00678
DB00328,DB01645
DB00481,DB00753
DB00564,DB03568
DB00201,DB01115
DB00412,DB01064
DB01001,DB04216
DB01050,DB01373
DB00316,DB00848
DB00945,DB04827
DB00544,DB00624
DB00091,DB00586
DB00472,DB04173
DB01393,DB02901
DB00864,DB00877
DB00184,DB02424
DB00564,DB00966
DB00451,DB00977
DB00158,DB00170
DB00495,DB02010
DB00515,DB00898
DB00227,DB01030
DB00188,DB00441
DB00977,DB01759
DB00316,DB02232
DB00563,DB00727
DB00399,DB01229
DB00727,DB00997
DB00763,DB04173
DB00316,DB01420
DB00841,DB00947
DB00277,DB00472
DB00741,DB01577
DB00179,DB00977
DB00407,DB01045
DB00741,DB01149
DB00563,DB01132
DB00162,DB00675
DB00512,DB00783
DB00197,DB01221
DB00136,DB00741
DB01026,DB02709
DB00570,DB00947
DB00313,DB00975
DB00988,DB02546
DB00412,DB00747
DB00325,DB01050
DB00295,DB00877
DB00158,DB00898
DB00435,DB02533
DB00184,DB01345
DB00566,DB02533
DB01174,DB01370
DB00783,DB00863
DB00531,DB01577
DB00143,DB00470
DB00290,DB00396
DB00170,DB00396
DB00563,DB00758
DB00197,DB00958
DB00134,DB00227
DB00134,DB02587
DB00572,DB01169
DB00367,DB02709
DB00255,DB04348
DB00871,DB00997
DB00755,DB03796
DB02424,DB03843
DB00255,DB00907
DB01698,DB02656
DB00169,DB00636
DB00586,DB01645
DB00783,DB03128
DB00741,DB00795
DB00227,DB00526
DB00678,DB00860
DB00448,DB00907
DB00755,DB02315
DB01373,DB02587
DB00472,DB00762
DB00877,DB01370
DB00669,DB01169
DB00499,DB01026
DB00328,DB00682
DB00571,DB01093
DB00982,DB02379
DB00481,DB04743
DB00564,DB00975
DB00624,DB01041
DB00531,DB02169
DB00636,DB01174
DB00763,DB01085
DB00947,DB01026
DB00907,DB02375
DB00295,DB00678
DB00166,DB00295
DB00537,DB02709
DB00499,DB02527
DB01181,DB01645
DB00997,DB01956
DB00977,DB01132
DB01064,DB03128
DB00997,DB01852
DB00118,DB00564
DB00550,DB01454
DB00624,DB00763
DB04216,DB04557
DB00396,DB00403
DB00431,DB00481
DB01149,DB03843
DB00572,DB01064
DB00396,DB00583
DB00947,DB02527
DB00316,DB03467
DB00162,DB00502
DB00970,DB02527
DB00316,DB02901
DB00755,DB01115
DB01370,DB04115
DB00727,DB00877
DB00252,DB04557
DB01956,DB04216
DB01370,DB04540
DB00470,DB00907
DB00143,DB01030
DB00407,DB01370
DB00563,DB04348
DB00170,DB00470
DB00368,DB00788
DB00412,DB01118
DB00290,DB00470
DB00997,DB01030
DB01593,DB04348
DB00481,DB00910
DB00669,DB01064
DB00091,DB00458
DB00755,DB01017
DB00279,DB00755
DB00712,DB00755
DB00783,DB00936
DB00134,DB01645
DB00396,DB00798
DB00171,DB00184
DB00175,DB01370
DB01030,DB01645
DB00571,DB02010
DB00394,DB00997
DB00815,DB00977
DB00966,DB02656
DB00898,DB04115
DB00126,DB00523
DB01017,DB02379
DB00512,DB02656
DB00396,DB00571
DB01033,DB04216
DB00741,DB00982
DB00795,DB01229
DB00481,DB01136
DB01373,DB01645
DB00305,DB00412
DB00368,DB00533
DB00531,DB00796
DB01234,DB01296
DB02379,DB04557
DB00907,DB01593
DB01229,DB02010
DB00563,DB01128
DB00170,DB01852
DB00177,DB01030
DB00627,DB01919
DB01268,DB02709
DB00428,DB00997
DB00143,DB00526
DB00531,DB01373
DB00396,DB00668
DB00605,DB01174
DB00675,DB04557
DB00584,DB00982
DB00166,DB02546
DB00126,DB00542
DB00184,DB04115
DB01577,DB02546
DB01118,DB01254
DB01076,DB02546
DB00977,DB04348
DB00188,DB01296
DB00898,DB02546
DB00537,DB00550
DB00987,DB01169
DB00966,DB01065
DB00641,DB01085
DB00331,DB02527
DB02169,DB02587
DB00091,DB01065
DB00499,DB02379
DB00907,DB01394
DB00541,DB02424
DB00481,DB01919
DB00982,DB01045
DB00316,DB03619
DB00134,DB00317
DB00305,DB04216
DB00255,DB00515
DB00997,DB01200
DB00907,DB01234
DB00947,DB02379
DB00515,DB01164
DB00396,DB00950
DB00822,DB01076
DB00554,DB00641
DB00448,DB00515
DB00495,DB00627
DB00277,DB00290
DB00841,DB02587
DB00162,DB01577
DB00162,DB01149
DB00783,DB04173
DB01104,DB01645
DB00515,DB00675
DB00526,DB00947
DB01174,DB03193
DB00977,DB01128
DB00277,DB01169
DB00091,DB00412
DB00495,DB00977
DB00477,DB00755
DB00313,DB00712
DB00394,DB00877
DB00571,DB00695
DB00307,DB02379
DB00177,DB01118
DB00594,DB03843
DB00435,DB00755
DB00566,DB00755
DB00290,DB00526
DB00170,DB00526
DB00523,DB00624
DB00143,DB00171
DB00834,DB02533
DB00877,DB01149
DB00252,DB00917
DB00917,DB01221
DB00122,DB01356
DB00435,DB03796
DB00281,DB00898
DB00158,DB00675
DB00428,DB00877
DB00806,DB01645
DB01394,DB04827
DB01064,DB04173
DB00201,DB02527
DB00624,DB02701
DB00470,DB00515
DB00162,DB02169
DB00162,DB00795
DB00396,DB00451
DB00279,DB00945
DB00515,DB00853
DB00668,DB00945
DB00741,DB01039
DB00122,DB00550
DB00860,DB04216
DB00396,DB01576
DB00328,DB00798
DB01599,DB01645
DB00641,DB00790
DB00313,DB01296
DB00428,DB00531
DB00316,DB00822
DB00472,DB01229
DB00368,DB01169
DB00526,DB00841
DB00277,DB00316
DB00747,DB00907
DB00197,DB00783
DB00564,DB00712
DB00503,DB00563
DB00412,DB01232
DB00277,DB01064
DB00170,DB00947
DB00431,DB01050
DB00531,DB01039
DB00122,DB01394
DB00162,DB00325
DB00126,DB01041
DB00982,DB01370
DB01065,DB01093
DB00328,DB00641
DB00158,DB00853
DB00563,DB01076
DB00338,DB00624
DB00313,DB04557
DB00295,DB02424
DB00763,DB03467
DB00331,DB02379
DB00255,DB03568
DB00864,DB01345
DB00421,DB00822
DB00763,DB02901
DB00252,DB00898
DB00482,DB00907
DB00328,DB00668
DB00675,DB00917
DB00262,DB00566
DB00435,DB01115
DB00227,DB02587
DB00566,DB01115
DB00175,DB01577
DB00428,DB00678
DB00841,DB01645
DB00126,DB00763
DB00255,DB00741
DB00544,DB01041
DB00255,DB00966
DB00570,DB01645
DB00755,DB01095
DB00407,DB00482
DB00564,DB01296
DB00795,DB00822
DB00563,DB01378
DB00266,DB00396
DB00331,DB00499
DB01248,DB04216
DB00435,DB01017
DB00635,DB03843
DB00295,DB01345
DB00368,DB01064
DB00179,DB00313
DB00544,DB00763
DB00970,DB01045
DB00158,DB00502
DB00412,DB02709
DB00412,DB04703
DB00091,DB00472
DB00526,DB01042
DB01118,DB01181
DB00316,DB00388
DB00188,DB00917
DB00564,DB04557
DB00188,DB00431
DB00162,DB01373
DB00531,DB04743
DB00171,DB04540
DB00252,DB01454
DB00470,DB03568
DB00636,DB02533
DB00675,DB00898
DB00586,DB00641
DB00755,DB01026
DB00495,DB00773
DB00435,DB00501
DB00201,DB02379
DB01149,DB01593
DB00877,DB00982
DB00501,DB00783
DB00477,DB00945
DB00541,DB04115
DB00184,DB00407
DB00143,DB00503
DB00254,DB00563
DB00541,DB04540
DB00755,DB00843
DB01852,DB02709
DB00783,DB00790
DB00169,DB00435
DB00126,DB00564
DB00678,DB04216
DB00363,DB01174
DB00126,DB01698
DB00566,DB00945
DB00171,DB00566
DB01045,DB01229
DB00313,DB00635
DB00755,DB02527
DB00563,DB00741
DB00526,DB00572
DB00396,DB00570
DB00396,DB01093
DB00091,DB00788
DB00977,DB01378
DB00201,DB00499
DB00227,DB01645
DB00197,DB02656
DB00544,DB01698
DB00316,DB01221
DB00277,DB00328
DB00544,DB00564
DB00170,DB01042
DB00188,DB00898
DB00790,DB00977
DB00627,DB02546
DB00136,DB00584
DB01296,DB02656
DB01050,DB01254
DB00136,DB04224
DB00641,DB02901
DB00316,DB00761
DB00649,DB01174
DB00162,DB01700
DB00988,DB04827
DB00143,DB02587
DB00407,DB00982
DB00863,DB01174
DB00316,DB00958
DB00675,DB01454
DB00331,DB01045
DB01149,DB01234
DB00134,DB00798
DB00783,DB01420
DB00515,DB01577
DB00316,DB04690
DB00997,DB02587
DB00264,DB00550
DB00515,DB01149
DB00091,DB00533
DB00970,DB01370
DB00773,DB04216
DB00564,DB00635
DB00571,DB00834
DB00313,DB00917
DB00175,DB01373
DB00313,DB00431
DB00412,DB00619
DB00481,DB02546
DB00755,DB03057
DB00477,DB01296
DB00134,DB00641
DB00864,DB04540
DB00566,DB01296
DB00997,DB01586
DB00170,DB00503
DB00795,DB01221
DB00572,DB02709
DB00550,DB01050
DB00396,DB02010
DB00158,DB01577
DB00158,DB01149
DB00197,DB01076
DB00544,DB00746
DB00482,DB00515
DB01200,DB04216
DB00834,DB03796
DB00928,DB04557
DB01645,DB04224
