Drug1,Drug2
DB00277,DB00571
DB00134,DB00945
DB00158,DB00295
DB00201,DB00636
DB00255,DB00544
DB00945,DB03568
DB00541,DB01229
DB00482,DB03843
DB02587,DB03128
DB00412,DB02010
DB00822,DB01356
DB00860,DB01645
DB00544,DB00741
DB00431,DB00988
DB00316,DB00533
DB00945,DB00966
DB00762,DB00834
DB00563,DB02375
DB00126,DB00162
DB00184,DB00541
DB00255,DB01593
DB01593,DB02375
DB00143,DB02533
DB00184,DB00746
DB00477,DB01050
DB00678,DB02587
DB01577,DB02701
DB00363,DB01296
DB01115,DB01593
DB00755,DB01700
DB00997,DB02533
DB00328,DB01026
DB00091,DB00681
DB01262,DB01454
DB00255,DB00481
DB00917,DB01064
DB00136,DB00997
DB00435,DB01577
DB00122,DB00338
DB00566,DB01577
DB00368,DB00571
DB00570,DB00755
DB00822,DB01394
DB00435,DB01149
DB00428,DB04173
DB00170,DB00608
DB00550,DB04115
DB00482,DB03518
DB00550,DB04540
DB00396,DB00499
DB00184,DB01696
DB00448,DB00481
DB00396,DB00512
DB00328,DB02527
DB00399,DB01169
DB00325,DB00624
DB00122,DB00627
DB00515,DB02546
DB00470,DB00544
DB00495,DB00605
DB00624,DB00712
DB00437,DB00997
DB00313,DB01183
DB00279,DB01373
DB00279,DB00368
DB00531,DB04827
DB00143,DB00331
DB00763,DB04216
DB01234,DB04743
DB01248,DB01645
DB00091,DB00715
DB00197,DB00669
DB00126,DB00975
DB00122,DB00977
DB02709,DB04557
DB00255,DB01234
DB00627,DB01041
DB00864,DB01229
DB00396,DB00744
DB00627,DB01262
DB00550,DB00566
DB01045,DB01076
DB00091,DB00206
DB00834,DB01370
DB00864,DB03467
DB00773,DB02587
DB00783,DB04468
DB00435,DB00795
DB00641,DB01065
DB00977,DB02375
DB00746,DB01356
DB00566,DB02169
DB00158,DB02546
DB00295,DB00305
DB00563,DB01356
DB00313,DB00753
DB00451,DB00495
DB00541,DB01262
DB00499,DB01254
DB00945,DB00975
DB00544,DB00975
DB00627,DB00763
DB00755,DB01039
DB00188,DB04743
DB00959,DB02656
DB00470,DB00481
DB00396,DB01016
DB00982,DB02546
DB00290,DB02533
DB00170,DB02533
DB00295,DB01229
DB00947,DB01254
DB00412,DB00695
DB00481,DB01041
DB00499,DB00554
DB00564,DB01183
DB01085,DB01229
DB00252,DB01919
DB00177,DB00331
DB01136,DB02587
DB00428,DB00762
DB00678,DB01645
DB00806,DB00945
DB00441,DB00834
DB00624,DB04557
DB00227,DB00755
DB00661,DB01174
DB00503,DB01065
DB00746,DB01394
DB00586,DB02527
DB00481,DB00763
DB00563,DB01394
DB00907,DB01393
DB00136,DB00877
DB00502,DB00526
DB00564,DB00753
DB00316,DB01169
DB00798,DB01592
DB00753,DB02709
DB00783,DB02656
DB00993,DB02587
DB00959,DB01065
DB00695,DB01645
DB00451,DB00586
DB01065,DB01370
DB00136,DB00531
DB00316,DB01166
DB00958,DB02709
DB00741,DB00947
DB00977,DB01356
DB00171,DB00822
DB00396,DB00445
DB00977,DB01593
DB00328,DB02379
DB00477,DB01373
DB00421,DB01169
DB00936,DB00997
DB00197,DB02709
DB00641,DB04216
DB00435,DB01373
DB00541,DB01698
DB00566,DB01373
DB00773,DB01645
DB01296,DB02709
DB02587,DB04173
DB00636,DB00675
DB00763,DB00788
DB00675,DB01919
DB00451,DB00783
DB00550,DB00988
DB00727,DB01229
DB00313,DB04743
DB00279,DB01039
DB00584,DB00947
DB02379,DB02424
DB00136,DB00678
DB00783,DB01065
DB01586,DB02709
DB00795,DB01169
DB00295,DB01262
DB00328,DB00499
DB00550,DB00987
DB00571,DB00605
DB01041,DB01050
DB00481,DB01698
DB00331,DB01254
DB00481,DB00564
DB00316,DB01064
DB00184,DB00818
DB00179,DB00783
DB00675,DB02424
DB00977,DB01394
DB00388,DB00482
DB00788,DB02587
DB00313,DB03166
DB00388,DB00795
DB00122,DB00773
DB00134,DB02527
DB00554,DB01045
DB01136,DB01645
DB01030,DB02527
DB00503,DB04216
DB00977,DB01234
DB00317,DB00563
DB00627,DB00746
DB00188,DB01919
DB00312,DB00412
DB00636,DB00853
DB01174,DB01852
DB02656,DB04224
DB00864,DB01222
DB00421,DB01064
DB00264,DB00977
DB01064,DB01065
DB00541,DB00746
DB01373,DB02527
DB00313,DB00910
DB00675,DB01345
DB00143,DB00755
DB00993,DB01645
DB00564,DB04743
DB00586,DB02379
DB00435,DB01700
DB00481,DB00541
DB00158,DB00407
DB00970,DB02546
DB00162,DB04827
DB00668,DB04743
DB00197,DB01356
DB00118,DB00898
DB00550,DB01275
DB00834,DB01577
DB00482,DB00544
DB00859,DB00898
DB00331,DB00435
DB00295,DB01222
DB01296,DB01356
DB00313,DB01136
DB00254,DB00412
DB00407,DB00470
DB00834,DB01149
DB00305,DB00641
DB00624,DB00917
DB00441,DB03128
DB00605,DB00675
DB00523,DB00741
DB00495,DB01592
DB01394,DB03568
DB00727,DB01262
DB01181,DB02379
DB00482,DB01593
DB00091,DB00583
DB00499,DB00694
DB00564,DB00910
DB00201,DB00477
DB00171,DB01221
DB00201,DB00554
DB00605,DB01370
DB00328,DB01045
DB00184,DB00758
DB00477,DB01039
DB00470,DB01050
DB00863,DB00898
DB00788,DB01645
DB00399,DB00428
DB00834,DB02169
DB00435,DB01039
DB00388,DB00982
DB00566,DB01039
DB00871,DB01262
DB00451,DB02656
DB00744,DB01645
DB00143,DB01115
DB00499,DB00928
DB00564,DB01136
DB00554,DB01370
DB00313,DB01919
DB00331,DB00864
DB00394,DB01229
DB00290,DB00755
DB00170,DB00755
DB00254,DB04216
DB00412,DB00834
DB00316,DB00328
DB00252,DB04115
DB00134,DB02379
DB00431,DB00624
DB00179,DB02656
DB01030,DB02379
DB00170,DB03796
DB00166,DB00907
DB00624,DB00898
DB00091,DB00571
DB00472,DB01169
DB00368,DB00970
DB00435,DB00636
DB00338,DB00741
DB02656,DB03843
DB00594,DB00977
DB00399,DB03518
DB00201,DB00435
DB00206,DB01645
DB00898,DB00907
DB00482,DB01234
DB00104,DB00783
DB00997,DB01017
DB00428,DB01229
DB00255,DB00997
DB01174,DB01200
DB01373,DB02379
DB00763,DB01169
DB00945,DB01296
DB00126,DB04557
DB00134,DB00499
DB00136,DB00177
DB01118,DB01174
DB01169,DB04216
DB00477,DB04743
DB00412,DB00959
DB00451,DB01076
DB00564,DB01919
DB00368,DB02010
DB02169,DB02527
DB00586,DB01045
DB00566,DB04743
DB00184,DB04348
DB00945,DB04557
DB02379,DB04115
DB00136,DB00184
DB01166,DB01593
DB00184,DB00907
DB02656,DB03518
DB00533,DB04743
DB00188,DB00295
DB01169,DB01181
DB00772,DB02709
DB01221,DB01229
DB01229,DB04573
DB00636,DB01577
DB00624,DB01454
DB00675,DB04115
DB00636,DB01149
DB00495,DB00586
DB00290,DB01115
DB00170,DB01115
DB00864,DB01221
DB00834,DB01373
DB00877,DB00947
DB00682,DB01169
DB00331,DB00694
DB00325,DB01041
DB00783,DB01092
DB00526,DB00945
DB00407,DB00526
DB00783,DB00788
DB00325,DB01262
DB00783,DB00811
DB00584,DB02587
DB00091,DB00950
DB00755,DB01254
DB00917,DB02709
DB00394,DB01262
DB00763,DB01064
DB00544,DB00584
DB00170,DB01017
DB00571,DB01592
DB00746,DB00997
DB00563,DB00997
DB00325,DB00763
DB00798,DB02656
DB00550,DB00993
DB00727,DB00746
DB00495,DB00783
DB00678,DB00798
DB00822,DB00877
DB00162,DB00841
DB00481,DB00818
DB00636,DB02169
DB00162,DB00523
DB00526,DB00712
DB01085,DB01221
DB00635,DB00977
DB01166,DB01234
DB01229,DB01592
DB00316,DB02285
DB00255,DB00877
DB00255,DB01183
DB00412,DB00863
DB00407,DB00947
DB00695,DB01174
DB01234,DB02546
DB00171,DB00727
DB00136,DB01345
DB00197,DB01880
DB00134,DB01045
DB00682,DB01064
DB00313,DB01005
DB01393,DB02709
DB01030,DB01045
DB00091,DB00451
DB00720,DB04216
DB00806,DB02379
DB00388,DB00636
DB00515,DB04827
DB00367,DB00563
DB00412,DB03128
DB00316,DB00669
DB00834,DB01700
DB00898,DB01248
DB00175,DB00947
DB00122,DB04173
DB00798,DB01065
DB00201,DB00694
DB00586,DB01370
DB01221,DB01262
DB00526,DB01296
DB00188,DB02546
DB00605,DB01577
DB02587,DB03467
DB02587,DB02901
DB00773,DB00798
DB02169,DB02379
DB01093,DB01169
DB00325,DB00564
DB00396,DB01001
DB00977,DB00997
DB00571,DB00860
DB00917,DB01356
DB00118,DB00675
DB00166,DB00515
DB00158,DB04827
DB00201,DB00399
DB00255,DB00678
DB00584,DB01645
DB00126,DB00917
DB00502,DB01645
DB00550,DB00624
DB01454,DB02587
DB00428,DB01222
DB00184,DB01248
DB00503,DB01169
DB00470,DB01183
DB00636,DB00796
DB00169,DB01174
DB00197,DB00421
DB00898,DB02232
DB00316,DB01232
DB00746,DB00877
DB00841,DB02379
DB00563,DB00877
DB00363,DB01370
DB00441,DB01085
DB00636,DB01373
DB00641,DB01064
DB00755,DB00864
DB00959,DB01169
DB00834,DB01039
DB00608,DB00898
DB00570,DB02379
DB00162,DB00252
DB00252,DB00407
DB00396,DB00605
DB00325,DB00541
DB01041,DB04743
DB00122,DB00762
DB00184,DB00515
DB00554,DB00795
DB00396,DB00411
DB00325,DB00746
DB00495,DB02656
DB00197,DB04513
DB00481,DB00594
DB00864,DB01132
DB00134,DB01370
DB00126,DB00898
DB01030,DB01370
DB00279,DB00435
DB00636,DB00685
DB00312,DB01169
DB00503,DB01064
DB00399,DB01356
DB00624,DB00675
DB00445,DB01645
DB00641,DB00747
DB00563,DB00815
DB00316,DB02709
DB01370,DB03568
DB00783,DB01169
DB00316,DB04703
DB00313,DB02546
DB00627,DB00907
DB00441,DB00563
DB01174,DB02587
DB00295,DB00727
DB01592,DB02587
DB01393,DB01394
DB00541,DB00907
DB00399,DB00550
DB00783,DB01166
DB00091,DB00570
DB00295,DB01132
DB00636,DB01700
DB00526,DB00635
DB01454,DB01645
DB00531,DB02701
DB00997,DB01026
DB00421,DB02709
DB00495,DB01065
